,0
160,10183_left
161,10183_right
162,10184_left
163,10184_right
164,10187_left
165,10187_right
166,10190_left
167,10190_right
168,10193_left
169,10193_right
170,10194_left
171,10194_right
172,10199_left
173,10199_right
174,10206_left
175,10206_right
176,10207_left
177,10207_right
178,1020_left
179,1020_right
180,10210_left
181,10210_right
182,10212_left
183,10212_right
184,10218_left
185,10218_right
186,1021_left
187,1021_right
188,10220_left
189,10220_right
190,10221_left
191,10221_right
192,10223_left
193,10223_right
194,10224_left
195,10224_right
196,10226_left
197,10226_right
198,10230_left
199,10230_right
200,10232_left
201,10232_right
202,10233_left
203,10233_right
204,10234_left
205,10234_right
206,10239_left
207,10239_right
208,10241_left
209,10241_right
210,10242_left
211,10242_right
212,10243_left
213,10243_right
214,10244_left
215,10244_right
216,1024_left
217,1024_right
218,10250_left
219,10250_right
220,10251_left
221,10251_right
222,10252_left
223,10252_right
224,10255_left
225,10255_right
226,10257_left
227,10257_right
228,10260_left
229,10260_right
230,10262_left
231,10262_right
232,10263_left
233,10263_right
234,10265_left
235,10265_right
236,10266_left
237,10266_right
238,10269_left
239,10269_right
240,10270_left
241,10270_right
242,10272_left
243,10272_right
244,10276_left
245,10276_right
246,10278_left
247,10278_right
248,10279_left
249,10279_right
250,1027_left
251,1027_right
252,10284_left
253,10284_right
254,10288_left
255,10288_right
256,10292_left
257,10292_right
258,10293_left
259,10293_right
260,10294_left
261,10294_right
262,10295_left
263,10295_right
264,10297_left
265,10297_right
266,1029_left
267,1029_right
268,102_left
269,102_right
270,10303_left
271,10303_right
272,10305_left
273,10305_right
274,10306_left
275,10306_right
276,1030_left
277,1030_right
278,10310_left
279,10310_right
280,10312_left
281,10312_right
282,10317_left
283,10317_right
284,10319_left
285,10319_right
286,10320_left
287,10320_right
288,10321_left
289,10321_right
290,10325_left
291,10325_right
292,10326_left
293,10326_right
294,10328_left
295,10328_right
296,1032_left
297,1032_right
298,10333_left
299,10333_right
300,10334_left
301,10334_right
302,10337_left
303,10337_right
304,10339_left
305,10339_right
306,10340_left
307,10340_right
308,10343_left
309,10343_right
310,1034_left
311,1034_right
312,10352_left
313,10352_right
314,10353_left
315,10353_right
316,10356_left
317,10356_right
318,10359_left
319,10359_right
320,1035_left
321,1035_right
322,10363_left
323,10363_right
324,10367_left
325,10367_right
326,10368_left
327,10368_right
328,10369_left
329,10369_right
330,1036_left
331,1036_right
332,10372_left
333,10372_right
334,10374_left
335,10374_right
336,10377_left
337,10377_right
338,10379_left
339,10379_right
340,1037_left
341,1037_right
342,10384_left
343,10384_right
344,10386_left
345,10386_right
346,10388_left
347,10388_right
348,10389_left
349,10389_right
350,10391_left
351,10391_right
352,10397_left
353,10397_right
354,10398_left
355,10398_right
356,10400_left
357,10400_right
358,10401_left
359,10401_right
360,10403_left
361,10403_right
362,10404_left
363,10404_right
364,10407_left
365,10407_right
366,10408_left
367,10408_right
368,10409_left
369,10409_right
370,1040_left
371,1040_right
372,10413_left
373,10413_right
374,10415_left
375,10415_right
376,10416_left
377,10416_right
378,10419_left
379,10419_right
380,1041_left
381,1041_right
382,10421_left
383,10421_right
384,10426_left
385,10426_right
386,10427_left
387,10427_right
388,10429_left
389,10429_right
390,1042_left
391,1042_right
392,10431_left
393,10431_right
394,10437_left
395,10437_right
396,10438_left
397,10438_right
398,10439_left
399,10439_right
400,1043_left
401,1043_right
402,10440_left
403,10440_right
404,10444_left
405,10444_right
406,10448_left
407,10448_right
408,1044_left
409,1044_right
410,10451_left
411,10451_right
412,10452_left
413,10452_right
414,10454_left
415,10454_right
416,10457_left
417,10457_right
418,10458_left
419,10458_right
420,10464_left
421,10464_right
422,10468_left
423,10468_right
424,10475_left
425,10475_right
426,10479_left
427,10479_right
428,1047_left
429,1047_right
430,10481_left
431,10481_right
432,10484_left
433,10484_right
434,10487_left
435,10487_right
436,10489_left
437,10489_right
438,10492_left
439,10492_right
440,10495_left
441,10495_right
442,1049_left
443,1049_right
444,104_left
445,104_right
446,10501_left
447,10501_right
448,10502_left
449,10502_right
450,10503_left
451,10503_right
452,10504_left
453,10504_right
454,1050_left
455,1050_right
456,10510_left
457,10510_right
458,10511_left
459,10511_right
460,10513_left
461,10513_right
462,10515_left
463,10515_right
464,1051_left
465,1051_right
466,10521_left
467,10521_right
468,10523_left
469,10523_right
470,10529_left
471,10529_right
472,1052_left
473,1052_right
474,10534_left
475,10534_right
476,10541_left
477,10541_right
478,10542_left
479,10542_right
480,10545_left
481,10545_right
482,10548_left
483,10548_right
484,10550_left
485,10550_right
486,10551_left
487,10551_right
488,10552_left
489,10552_right
490,10553_left
491,10553_right
492,10558_left
493,10558_right
494,1055_left
495,1055_right
496,10560_left
497,10560_right
498,10562_left
499,10562_right
500,10563_left
501,10563_right
502,10566_left
503,10566_right
504,10567_left
505,10567_right
506,10568_left
507,10568_right
508,10569_left
509,10569_right
510,1056_left
511,1056_right
512,10570_left
513,10570_right
514,10579_left
515,10579_right
516,1057_left
517,1057_right
518,10583_left
519,10583_right
520,10585_left
521,10585_right
522,10587_left
523,10587_right
524,1058_left
525,1058_right
526,10592_left
527,10592_right
528,10594_left
529,10594_right
530,1059_left
531,1059_right
532,10603_left
533,10603_right
534,10605_left
535,10605_right
536,10606_left
537,10606_right
538,10608_left
539,10608_right
540,10610_left
541,10610_right
542,10612_left
543,10612_right
544,10614_left
545,10614_right
546,10616_left
547,10616_right
548,10619_left
549,10619_right
550,1061_left
551,1061_right
552,10622_left
553,10622_right
554,10623_left
555,10623_right
556,10624_left
557,10624_right
558,10626_left
559,10626_right
560,10629_left
561,10629_right
562,10634_left
563,10634_right
564,10636_left
565,10636_right
566,10640_left
567,10640_right
568,10643_left
569,10643_right
570,10644_left
571,10644_right
572,10645_left
573,10645_right
574,10646_left
575,10646_right
576,10647_left
577,10647_right
578,10649_left
579,10649_right
580,10650_left
581,10650_right
582,10651_left
583,10651_right
584,10653_left
585,10653_right
586,10657_left
587,10657_right
588,10658_left
589,10658_right
590,10660_left
591,10660_right
592,10664_left
593,10664_right
594,10666_left
595,10666_right
596,10669_left
597,10669_right
598,10671_left
599,10671_right
600,10672_left
601,10672_right
602,10674_left
603,10674_right
604,10675_left
605,10675_right
606,10680_left
607,10680_right
608,10684_left
609,10684_right
610,10688_left
611,10688_right
612,10694_left
613,10694_right
614,10695_left
615,10695_right
616,10698_left
617,10698_right
618,10701_left
619,10701_right
620,10705_left
621,10705_right
622,1070_left
623,1070_right
624,10710_left
625,10710_right
626,10720_left
627,10720_right
628,10722_left
629,10722_right
630,10723_left
631,10723_right
632,10726_left
633,10726_right
634,10727_left
635,10727_right
636,10729_left
637,10729_right
638,10731_left
639,10731_right
640,10732_left
641,10732_right
642,10734_left
643,10734_right
644,10737_left
645,10737_right
646,1073_left
647,1073_right
648,10743_left
649,10743_right
650,10745_left
651,10745_right
652,10748_left
653,10748_right
654,10751_left
655,10751_right
656,10752_left
657,10752_right
658,10754_left
659,10754_right
660,10755_left
661,10755_right
662,10758_left
663,10758_right
664,1075_left
665,1075_right
666,10761_left
667,10761_right
668,10762_left
669,10762_right
670,10763_left
671,10763_right
672,1076_left
673,1076_right
674,10770_left
675,10770_right
676,10771_left
677,10771_right
678,10772_left
679,10772_right
680,10773_left
681,10773_right
682,10777_left
683,10777_right
684,10779_left
685,10779_right
686,1077_left
687,1077_right
688,10781_left
689,10781_right
690,10782_left
691,10782_right
692,10785_left
693,10785_right
694,10786_left
695,10786_right
696,10787_left
697,10787_right
698,10790_left
699,10790_right
700,10791_left
701,10791_right
702,10792_left
703,10792_right
704,10794_left
705,10794_right
706,10808_left
707,10808_right
708,10810_left
709,10810_right
710,10811_left
711,10811_right
712,10812_left
713,10812_right
714,10814_left
715,10814_right
716,10815_left
717,10815_right
718,10819_left
719,10819_right
720,10822_left
721,10822_right
722,10823_left
723,10823_right
724,10827_left
725,10827_right
726,10831_left
727,10831_right
728,10832_left
729,10832_right
730,10833_left
731,10833_right
732,10835_left
733,10835_right
734,10838_left
735,10838_right
736,10839_left
737,10839_right
738,10842_left
739,10842_right
740,10844_left
741,10844_right
742,10845_left
743,10845_right
744,10848_left
745,10848_right
746,1084_left
747,1084_right
748,10851_left
749,10851_right
750,10853_left
751,10853_right
752,10854_left
753,10854_right
754,10861_left
755,10861_right
756,10864_left
757,10864_right
758,10865_left
759,10865_right
760,10873_left
761,10873_right
762,10874_left
763,10874_right
764,10879_left
765,10879_right
766,10883_left
767,10883_right
768,10884_left
769,10884_right
770,10886_left
771,10886_right
772,1088_left
773,1088_right
774,10891_left
775,10891_right
776,10897_left
777,10897_right
778,108_left
779,108_right
780,10903_left
781,10903_right
782,10904_left
783,10904_right
784,10907_left
785,10907_right
786,10908_left
787,10908_right
788,10913_left
789,10913_right
790,10915_left
791,10915_right
792,10916_left
793,10916_right
794,10919_left
795,10919_right
796,10920_left
797,10920_right
798,10923_left
799,10923_right
800,10924_left
801,10924_right
802,10925_left
803,10925_right
804,1092_left
805,1092_right
806,10930_left
807,10930_right
808,10931_left
809,10931_right
810,10934_left
811,10934_right
812,10936_left
813,10936_right
814,1093_left
815,1093_right
816,10940_left
817,10940_right
818,10941_left
819,10941_right
820,10942_left
821,10942_right
822,10943_left
823,10943_right
824,10945_left
825,10945_right
826,10947_left
827,10947_right
828,10952_left
829,10952_right
830,10954_left
831,10954_right
832,10960_left
833,10960_right
834,10961_left
835,10961_right
836,10962_left
837,10962_right
838,10963_left
839,10963_right
840,10966_left
841,10966_right
842,10969_left
843,10969_right
844,1096_left
845,1096_right
846,10970_left
847,10970_right
848,10974_left
849,10974_right
850,10975_left
851,10975_right
852,10976_left
853,10976_right
854,10977_left
855,10977_right
856,10983_left
857,10983_right
858,10987_left
859,10987_right
860,10988_left
861,10988_right
862,10989_left
863,10989_right
864,1098_left
865,1098_right
866,10994_left
867,10994_right
868,10996_left
869,10996_right
870,1099_left
871,1099_right
872,10_left
873,10_right
874,11003_left
875,11003_right
876,11005_left
877,11005_right
878,11007_left
879,11007_right
880,11008_left
881,11008_right
882,1100_left
883,1100_right
884,11010_left
885,11010_right
886,11013_left
887,11013_right
888,11023_left
889,11023_right
890,11026_left
891,11026_right
892,1102_left
893,1102_right
894,11031_left
895,11031_right
896,11032_left
897,11032_right
898,11035_left
899,11035_right
900,11037_left
901,11037_right
902,11040_left
903,11040_right
904,11041_left
905,11041_right
906,11043_left
907,11043_right
908,11048_left
909,11048_right
910,11049_left
911,11049_right
912,11050_left
913,11050_right
914,11053_left
915,11053_right
916,11054_left
917,11054_right
918,11056_left
919,11056_right
920,11057_left
921,11057_right
922,11058_left
923,11058_right
924,11067_left
925,11067_right
926,11069_left
927,11069_right
928,11072_left
929,11072_right
930,11079_left
931,11079_right
932,1107_left
933,1107_right
934,11080_left
935,11080_right
936,11083_left
937,11083_right
938,11085_left
939,11085_right
940,11087_left
941,11087_right
942,11089_left
943,11089_right
944,11091_left
945,11091_right
946,11095_left
947,11095_right
948,11097_left
949,11097_right
950,11098_left
951,11098_right
952,11099_left
953,11099_right
954,11101_left
955,11101_right
956,11106_left
957,11106_right
958,11113_left
959,11113_right
960,11114_left
961,11114_right
962,11115_left
963,11115_right
964,11117_left
965,11117_right
966,11119_left
967,11119_right
968,1111_left
969,1111_right
970,11120_left
971,11120_right
972,11121_left
973,11121_right
974,11122_left
975,11122_right
976,11123_left
977,11123_right
978,11124_left
979,11124_right
980,11125_left
981,11125_right
982,11127_left
983,11127_right
984,11129_left
985,11129_right
986,11130_left
987,11130_right
988,11132_left
989,11132_right
990,11136_left
991,11136_right
992,11138_left
993,11138_right
994,1113_left
995,1113_right
996,11142_left
997,11142_right
998,11143_left
999,11143_right
1000,11147_left
1001,11147_right
1002,11149_left
1003,11149_right
1004,11152_left
1005,11152_right
1006,11153_left
1007,11153_right
1008,11155_left
1009,11155_right
1010,11156_left
1011,11156_right
1012,11157_left
1013,11157_right
1014,11158_left
1015,11158_right
1016,11159_left
1017,11159_right
1018,11161_left
1019,11161_right
1020,11162_left
1021,11162_right
1022,11163_left
1023,11163_right
1024,11164_left
1025,11164_right
1026,11165_left
1027,11165_right
1028,11169_left
1029,11169_right
1030,1116_left
1031,1116_right
1032,11176_left
1033,11176_right
1034,11178_left
1035,11178_right
1036,11180_left
1037,11180_right
1038,11181_left
1039,11181_right
1040,11182_left
1041,11182_right
1042,11183_left
1043,11183_right
1044,11186_left
1045,11186_right
1046,11187_left
1047,11187_right
1048,11192_left
1049,11192_right
1050,11196_left
1051,11196_right
1052,11197_left
1053,11197_right
1054,11198_left
1055,11198_right
1056,1119_left
1057,1119_right
1058,111_left
1059,111_right
1060,11203_left
1061,11203_right
1062,11204_left
1063,11204_right
1064,11206_left
1065,11206_right
1066,11207_left
1067,11207_right
1068,11209_left
1069,11209_right
1070,1120_left
1071,1120_right
1072,11211_left
1073,11211_right
1074,11216_left
1075,11216_right
1076,11217_left
1077,11217_right
1078,11219_left
1079,11219_right
1080,11221_left
1081,11221_right
1082,11222_left
1083,11222_right
1084,11228_left
1085,11228_right
1086,11229_left
1087,11229_right
1088,11230_left
1089,11230_right
1090,11231_left
1091,11231_right
1092,11232_left
1093,11232_right
1094,11234_left
1095,11234_right
1096,11238_left
1097,11238_right
1098,1123_left
1099,1123_right
1100,11241_left
1101,11241_right
1102,11243_left
1103,11243_right
1104,11244_left
1105,11244_right
1106,11246_left
1107,11246_right
1108,11247_left
1109,11247_right
1110,11249_left
1111,11249_right
1112,11261_left
1113,11261_right
1114,11262_left
1115,11262_right
1116,11263_left
1117,11263_right
1118,11265_left
1119,11265_right
1120,11267_left
1121,11267_right
1122,11268_left
1123,11268_right
1124,11270_left
1125,11270_right
1126,11271_left
1127,11271_right
1128,11273_left
1129,11273_right
1130,1127_left
1131,1127_right
1132,11283_left
1133,11283_right
1134,11288_left
1135,11288_right
1136,11289_left
1137,11289_right
1138,11291_left
1139,11291_right
1140,11292_left
1141,11292_right
1142,11293_left
1143,11293_right
1144,11294_left
1145,11294_right
1146,11298_left
1147,11298_right
1148,11299_left
1149,11299_right
1150,11301_left
1151,11301_right
1152,11304_left
1153,11304_right
1154,11305_left
1155,11305_right
1156,11308_left
1157,11308_right
1158,11310_left
1159,11310_right
1160,11313_left
1161,11313_right
1162,11314_left
1163,11314_right
1164,11315_left
1165,11315_right
1166,11316_left
1167,11316_right
1168,11317_left
1169,11317_right
1170,11319_left
1171,11319_right
1172,1131_left
1173,1131_right
1174,11321_left
1175,11321_right
1176,11325_left
1177,11325_right
1178,11326_left
1179,11326_right
1180,11332_left
1181,11332_right
1182,11335_left
1183,11335_right
1184,1133_left
1185,1133_right
1186,11340_left
1187,11340_right
1188,11341_left
1189,11341_right
1190,11345_left
1191,11345_right
1192,11348_left
1193,11348_right
1194,11349_left
1195,11349_right
1196,1135_left
1197,1135_right
1198,11362_left
1199,11362_right
1200,11364_left
1201,11364_right
1202,11365_left
1203,11365_right
1204,11366_left
1205,11366_right
1206,1136_left
1207,1136_right
1208,11370_left
1209,11370_right
1210,11371_left
1211,11371_right
1212,11375_left
1213,11375_right
1214,11378_left
1215,11378_right
1216,11382_left
1217,11382_right
1218,11384_left
1219,11384_right
1220,11385_left
1221,11385_right
1222,11387_left
1223,11387_right
1224,11388_left
1225,11388_right
1226,1138_left
1227,1138_right
1228,11391_left
1229,11391_right
1230,11392_left
1231,11392_right
1232,11393_left
1233,11393_right
1234,11394_left
1235,11394_right
1236,11395_left
1237,11395_right
1238,11397_left
1239,11397_right
1240,1139_left
1241,1139_right
1242,11407_left
1243,11407_right
1244,11408_left
1245,11408_right
1246,11409_left
1247,11409_right
1248,1140_left
1249,1140_right
1250,11417_left
1251,11417_right
1252,11420_left
1253,11420_right
1254,11421_left
1255,11421_right
1256,11425_left
1257,11425_right
1258,11427_left
1259,11427_right
1260,11428_left
1261,11428_right
1262,1142_left
1263,1142_right
1264,11431_left
1265,11431_right
1266,11432_left
1267,11432_right
1268,11435_left
1269,11435_right
1270,11437_left
1271,11437_right
1272,11438_left
1273,11438_right
1274,11439_left
1275,11439_right
1276,11443_left
1277,11443_right
1278,11444_left
1279,11444_right
1280,11445_left
1281,11445_right
1282,11446_left
1283,11446_right
1284,11448_left
1285,11448_right
1286,1144_left
1287,1144_right
1288,11455_left
1289,11455_right
1290,1145_left
1291,1145_right
1292,11462_left
1293,11462_right
1294,11464_left
1295,11464_right
1296,1146_left
1297,1146_right
1298,11471_left
1299,11471_right
1300,11474_left
1301,11474_right
1302,11476_left
1303,11476_right
1304,1147_left
1305,1147_right
1306,11482_left
1307,11482_right
1308,11484_left
1309,11484_right
1310,11485_left
1311,11485_right
1312,11487_left
1313,11487_right
1314,11490_left
1315,11490_right
1316,11492_left
1317,11492_right
1318,11494_left
1319,11494_right
1320,11495_left
1321,11495_right
1322,11496_left
1323,11496_right
1324,114_left
1325,114_right
1326,11500_left
1327,11500_right
1328,11503_left
1329,11503_right
1330,11504_left
1331,11504_right
1332,11505_left
1333,11505_right
1334,11512_left
1335,11512_right
1336,11516_left
1337,11516_right
1338,11519_left
1339,11519_right
1340,11520_left
1341,11520_right
1342,11526_left
1343,11526_right
1344,11527_left
1345,11527_right
1346,11529_left
1347,11529_right
1348,1152_left
1349,1152_right
1350,11534_left
1351,11534_right
1352,11539_left
1353,11539_right
1354,11541_left
1355,11541_right
1356,11542_left
1357,11542_right
1358,11543_left
1359,11543_right
1360,11545_left
1361,11545_right
1362,11546_left
1363,11546_right
1364,11547_left
1365,11547_right
1366,11550_left
1367,11550_right
1368,11551_left
1369,11551_right
1370,11553_left
1371,11553_right
1372,11555_left
1373,11555_right
1374,11573_left
1375,11573_right
1376,11574_left
1377,11574_right
1378,11575_left
1379,11575_right
1380,11579_left
1381,11579_right
1382,11581_left
1383,11581_right
1384,11584_left
1385,11584_right
1386,11590_left
1387,11590_right
1388,11593_left
1389,11593_right
1390,11594_left
1391,11594_right
1392,11598_left
1393,11598_right
1394,115_left
1395,115_right
1396,11600_left
1397,11600_right
1398,11601_left
1399,11601_right
1400,11603_left
1401,11603_right
1402,11605_left
1403,11605_right
1404,11607_left
1405,11607_right
1406,11610_left
1407,11610_right
1408,11612_left
1409,11612_right
1410,11616_left
1411,11616_right
1412,11618_left
1413,11618_right
1414,11619_left
1415,11619_right
1416,1161_left
1417,1161_right
1418,11623_left
1419,11623_right
1420,11624_left
1421,11624_right
1422,11625_left
1423,11625_right
1424,11626_left
1425,11626_right
1426,1162_left
1427,1162_right
1428,11630_left
1429,11630_right
1430,11631_left
1431,11631_right
1432,11638_left
1433,11638_right
1434,11639_left
1435,11639_right
1436,11640_left
1437,11640_right
1438,11642_left
1439,11642_right
1440,11645_left
1441,11645_right
1442,11646_left
1443,11646_right
1444,11647_left
1445,11647_right
1446,11648_left
1447,11648_right
1448,11649_left
1449,11649_right
1450,11650_left
1451,11650_right
1452,11651_left
1453,11651_right
1454,11652_left
1455,11652_right
1456,11655_left
1457,11655_right
1458,1165_left
1459,1165_right
1460,11661_left
1461,11661_right
1462,11665_left
1463,11665_right
1464,11677_left
1465,11677_right
1466,11679_left
1467,11679_right
1468,1167_left
1469,1167_right
1470,11684_left
1471,11684_right
1472,11691_left
1473,11691_right
1474,11697_left
1475,11697_right
1476,11698_left
1477,11698_right
1478,11703_left
1479,11703_right
1480,11704_left
1481,11704_right
1482,11707_left
1483,11707_right
1484,1170_left
1485,1170_right
1486,11717_left
1487,11717_right
1488,11719_left
1489,11719_right
1490,11720_left
1491,11720_right
1492,11724_left
1493,11724_right
1494,11726_left
1495,11726_right
1496,11727_left
1497,11727_right
1498,1172_left
1499,1172_right
1500,11730_left
1501,11730_right
1502,11734_left
1503,11734_right
1504,11736_left
1505,11736_right
1506,11738_left
1507,11738_right
1508,11740_left
1509,11740_right
1510,11741_left
1511,11741_right
1512,11744_left
1513,11744_right
1514,11749_left
1515,11749_right
1516,11750_left
1517,11750_right
1518,11754_left
1519,11754_right
1520,11758_left
1521,11758_right
1522,11759_left
1523,11759_right
1524,11760_left
1525,11760_right
1526,11768_left
1527,11768_right
1528,11770_left
1529,11770_right
1530,11772_left
1531,11772_right
1532,11773_left
1533,11773_right
1534,11775_left
1535,11775_right
1536,11776_left
1537,11776_right
1538,11778_left
1539,11778_right
1540,11779_left
1541,11779_right
1542,1177_left
1543,1177_right
1544,11780_left
1545,11780_right
1546,11781_left
1547,11781_right
1548,11786_left
1549,11786_right
1550,11789_left
1551,11789_right
1552,1178_left
1553,1178_right
1554,11790_left
1555,11790_right
1556,11791_left
1557,11791_right
1558,11793_left
1559,11793_right
1560,11796_left
1561,11796_right
1562,1179_left
1563,1179_right
1564,117_left
1565,117_right
1566,11802_left
1567,11802_right
1568,11805_left
1569,11805_right
1570,11807_left
1571,11807_right
1572,11808_left
1573,11808_right
1574,1180_left
1575,1180_right
1576,11811_left
1577,11811_right
1578,11815_left
1579,11815_right
1580,11816_left
1581,11816_right
1582,11817_left
1583,11817_right
1584,11818_left
1585,11818_right
1586,11819_left
1587,11819_right
1588,11823_left
1589,11823_right
1590,11824_left
1591,11824_right
1592,11826_left
1593,11826_right
1594,11828_left
1595,11828_right
1596,11829_left
1597,11829_right
1598,1182_left
1599,1182_right
1600,11830_left
1601,11830_right
1602,11832_left
1603,11832_right
1604,11833_left
1605,11833_right
1606,11838_left
1607,11838_right
1608,11840_left
1609,11840_right
1610,11845_left
1611,11845_right
1612,11847_left
1613,11847_right
1614,11849_left
1615,11849_right
1616,11854_left
1617,11854_right
1618,11855_left
1619,11855_right
1620,11856_left
1621,11856_right
1622,11858_left
1623,11858_right
1624,11863_left
1625,11863_right
1626,11866_left
1627,11866_right
1628,11870_left
1629,11870_right
1630,11871_left
1631,11871_right
1632,11874_left
1633,11874_right
1634,11888_left
1635,11888_right
1636,11889_left
1637,11889_right
1638,1188_left
1639,1188_right
1640,11890_left
1641,11890_right
1642,11894_left
1643,11894_right
1644,11896_left
1645,11896_right
1646,11899_left
1647,11899_right
1648,11900_left
1649,11900_right
1650,11903_left
1651,11903_right
1652,11904_left
1653,11904_right
1654,11909_left
1655,11909_right
1656,11910_left
1657,11910_right
1658,11913_left
1659,11913_right
1660,11914_left
1661,11914_right
1662,11915_left
1663,11915_right
1664,11916_left
1665,11916_right
1666,11920_left
1667,11920_right
1668,11923_left
1669,11923_right
1670,11926_left
1671,11926_right
1672,11929_left
1673,11929_right
1674,1192_left
1675,1192_right
1676,11930_left
1677,11930_right
1678,11935_left
1679,11935_right
1680,11937_left
1681,11937_right
1682,11940_left
1683,11940_right
1684,11942_left
1685,11942_right
1686,11943_left
1687,11943_right
1688,11946_left
1689,11946_right
1690,11949_left
1691,11949_right
1692,11952_left
1693,11952_right
1694,11953_left
1695,11953_right
1696,11956_left
1697,11956_right
1698,11957_left
1699,11957_right
1700,11959_left
1701,11959_right
1702,11962_left
1703,11962_right
1704,11965_left
1705,11965_right
1706,11966_left
1707,11966_right
1708,11968_left
1709,11968_right
1710,1196_left
1711,1196_right
1712,11970_left
1713,11970_right
1714,11971_left
1715,11971_right
1716,11974_left
1717,11974_right
1718,11975_left
1719,11975_right
1720,1197_left
1721,1197_right
1722,11980_left
1723,11980_right
1724,11982_left
1725,11982_right
1726,11983_left
1727,11983_right
1728,11988_left
1729,11988_right
1730,11989_left
1731,11989_right
1732,11990_left
1733,11990_right
1734,11992_left
1735,11992_right
1736,11995_left
1737,11995_right
1738,11996_left
1739,11996_right
1740,11997_left
1741,11997_right
1742,1199_left
1743,1199_right
1744,119_left
1745,119_right
1746,12000_left
1747,12000_right
1748,12001_left
1749,12001_right
1750,12003_left
1751,12003_right
1752,12005_left
1753,12005_right
1754,12010_left
1755,12010_right
1756,12014_left
1757,12014_right
1758,12018_left
1759,12018_right
1760,12023_left
1761,12023_right
1762,12026_left
1763,12026_right
1764,12027_left
1765,12027_right
1766,1202_left
1767,1202_right
1768,12031_left
1769,12031_right
1770,12036_left
1771,12036_right
1772,12040_left
1773,12040_right
1774,12042_left
1775,12042_right
1776,1204_left
1777,1204_right
1778,12056_left
1779,12056_right
1780,12058_left
1781,12058_right
1782,12061_left
1783,12061_right
1784,12063_left
1785,12063_right
1786,12067_left
1787,12067_right
1788,12068_left
1789,12068_right
1790,1206_left
1791,1206_right
1792,12070_left
1793,12070_right
1794,12072_left
1795,12072_right
1796,12074_left
1797,12074_right
1798,12075_left
1799,12075_right
1800,12076_left
1801,12076_right
1802,12079_left
1803,12079_right
1804,12082_left
1805,12082_right
1806,12086_left
1807,12086_right
1808,12089_left
1809,12089_right
1810,12092_left
1811,12092_right
1812,12095_left
1813,12095_right
1814,12098_left
1815,12098_right
1816,12100_left
1817,12100_right
1818,12101_left
1819,12101_right
1820,12103_left
1821,12103_right
1822,12104_left
1823,12104_right
1824,12105_left
1825,12105_right
1826,12106_left
1827,12106_right
1828,12107_left
1829,12107_right
1830,12108_left
1831,12108_right
1832,12110_left
1833,12110_right
1834,12111_left
1835,12111_right
1836,12114_left
1837,12114_right
1838,12119_left
1839,12119_right
1840,1211_left
1841,1211_right
1842,12124_left
1843,12124_right
1844,12126_left
1845,12126_right
1846,12127_left
1847,12127_right
1848,12128_left
1849,12128_right
1850,12129_left
1851,12129_right
1852,1212_left
1853,1212_right
1854,12133_left
1855,12133_right
1856,12139_left
1857,12139_right
1858,12140_left
1859,12140_right
1860,12141_left
1861,12141_right
1862,12144_left
1863,12144_right
1864,12146_left
1865,12146_right
1866,12147_left
1867,12147_right
1868,12148_left
1869,12148_right
1870,12149_left
1871,12149_right
1872,12154_left
1873,12154_right
1874,12155_left
1875,12155_right
